@iter: 611, score: 152, epsilon: 0.01
@iter: 612, score: 172, epsilon: 0.01
@iter: 613, score: 94, epsilon: 0.01
@iter: 614, score: 199, epsilon: 0.01
@iter: 615, score: 138, epsilon: 0.01
@iter: 616, score: 199, epsilon: 0.01
@iter: 617, score: 139, epsilon: 0.01
@iter: 618, score: 173, epsilon: 0.01
@iter: 619, score: 140, epsilon: 0.01
@iter: 620, score: 116, epsilon: 0.01
@iter: 621, score: 148, epsilon: 0.01
@iter: 622, score: 107, epsilon: 0.01
@iter: 623, score: 123, epsilon: 0.01
@iter: 624, score: 185, epsilon: 0.01
@iter: 625, score: 143, epsilon: 0.01
@iter: 626, score: 126, epsilon: 0.01
@iter: 627, score: 147, epsilon: 0.01
@iter: 628, score: 149, epsilon: 0.01
@iter: 629, score: 123, epsilon: 0.01
@iter: 630, score: 118, epsilon: 0.01
@iter: 631, score: 126, epsilon: 0.01
@iter: 632, score: 122, epsilon: 0.01
@iter: 633, score: 123, epsilon: 0.01
@iter: 634, score: 159, epsilon: 0.01
@iter: 635, score: 149, epsilon: 0.01
@iter: 636, score: 144, epsilon: 0.01
